Q7 - ranking de custo-beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 561 |          455.69 |         4712.50
      2024 |                 575 |          254.29 |         6949.20
      2025 |                 562 |          391.08 |        12292.90
      2026 |                 552 |           96.45 |         2516.20
(4 rows)


Tabela principal - top 30 por custo-beneficio
 ano_dados | id_deputado |           nome           | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
 GLOBAL    |       77003 | Sergio Santos Rodrigues             | MG       | PODE          |   120320.49 |              21 |                     0 |             56 |      37.1 |     0.00030834315917430190
 GLOBAL    |      220669 | Lula da Fonte                       | PE       | PP            |  1794881.77 |             313 |                     1 |            417 |     547.2 |     0.00030486687710912569
 GLOBAL    |      204524 | Pinheirinho                         | MG       | PP            |  1406089.89 |             225 |                     1 |            532 |     426.7 |     0.00030346566249758044
 GLOBAL    |       74696 | Alberto Mourão                      | SP       | MDB           |   737490.97 |             105 |                     1 |            301 |     223.6 |     0.00030319015295875419
 GLOBAL    |      160508 | Afonso Florence                     | BA       | PT            |    62174.47 |              10 |                     0 |             38 |      18.8 |     0.00030237491369045848
 GLOBAL    |      204481 | Dr. Jaziel                          | CE       | PL            |  1753301.89 |             313 |                     0 |            542 |     523.7 |     0.00029869356953696092
 GLOBAL    |      229585 | Elisangela Araujo                   | BA       | PT            |   270131.28 |              49 |                     0 |             68 |      80.3 |     0.00029726287159339711
 GLOBAL    |       74317 | Júlio Cesar                         | PI       | PSD           |  1680352.23 |             276 |                     1 |            443 |     494.3 |     0.00029416451573370424
 GLOBAL    |      220699 | Castro Neto                         | PI       | MDB           |  1672868.64 |             234 |                     2 |            686 |     491.6 |     0.00029386646879817174
 GLOBAL    |      141487 | Luiz Fernando Faria                 | MG       | UNIAO         |  1475124.27 |             233 |                     1 |            467 |     432.2 |     0.00029299226430597607
 GLOBAL    |      141531 | Rodrigo de Castro                   | MG       | UNIAO         |  1506163.75 |             235 |                     1 |            501 |     438.6 |     0.00029120339670902317
 GLOBAL    |       74400 | Paulo Pimenta                       | RS       | PT            |   699467.48 |             123 |                     0 |            185 |     203.0 |     0.00029022078338795679
 GLOBAL    |      226837 | Saulo Pedroso                       | SP       | PSD           |  1269513.25 |             216 |                     0 |            444 |     368.4 |     0.00029018996060104138
 GLOBAL    |      220537 | Helena Lima                         | RR       | PSD           |  1947809.40 |             310 |                     1 |            547 |     555.7 |     0.00028529485482511790
 GLOBAL    |      227310 | Silvio Antonio                      | MA       | PL            |   364432.69 |              60 |                     0 |            123 |     102.3 |     0.00028071027327433222
 GLOBAL    |      122158 | Pedro Paulo                         | RJ       | PSD           |  1481008.89 |             178 |                     3 |            403 |     415.3 |     0.00028041695279762973
 GLOBAL    |       74574 | Paulo Magalhães                     | BA       | PSD           |  1549923.58 |             218 |                     1 |            701 |     433.1 |     0.00027943313179350430
 GLOBAL    |      205550 | Jorge Braz                          | RJ       | REPUBLICANOS  |  1519432.62 |             200 |                     2 |            496 |     421.6 |     0.00027747199477657654
 GLOBAL    |      123086 | Átila Lira                          | PI       | PP            |  1709264.07 |             247 |                     1 |            668 |     473.3 |     0.00027690279595007224
 GLOBAL    |      160641 | Professora Marcivania               | AP       | PCDOB         |   336171.13 |              52 |                     0 |            149 |      92.9 |     0.00027634734725733289
 GLOBAL    |      233594 | Rafael Fera                         | RO       | PODE          |   448288.43 |              71 |                     0 |            171 |     123.6 |     0.00027571534692519278
 GLOBAL    |       74383 | Giacobo                             | PR       | PSD           |  1699879.60 |             287 |                     0 |            333 |     463.8 |     0.00027284285310559642
 GLOBAL    |      141485 | Luiz Carlos Busato                  | RS       | UNIAO         |  1792319.98 |             281 |                     0 |            671 |     488.6 |     0.00027260757311872403
 GLOBAL    |       73768 | Dilceu Sperafico                    | PR       | PP            |  1778217.36 |             250 |                     1 |            677 |     478.7 |     0.00026920218572154756
