id_deputado;tema;qtd_proposicoes
116379;Direitos Humanos e Minorias;3
116379;Meio Ambiente e Desenvolvimento Sustentável;3
116379;Energia, Recursos Hídricos e Minerais;2
116379;Estrutura Fundiária;2
116379;Arte, Cultura e Religião;1
116379;Cidades e Desenvolvimento Urbano;1
116379;Direito Constitucional;1
116379;Direito Penal e Processual Penal;1
116379;Educação;1
116379;Homenagens e Datas Comemorativas;1
116379;Turismo;1
121948;Agricultura, Pecuária, Pesca e Extrativismo;6
121948;Finanças Públicas e Orçamento;5
121948;Homenagens e Datas Comemorativas;5
121948;Meio Ambiente e Desenvolvimento Sustentável;5
121948;Administração Pública;4
121948;Viação, Transporte e Mobilidade;4
121948;Arte, Cultura e Religião;3
121948;Processo Legislativo e Atuação Parlamentar;3
121948;Turismo;3
121948;Cidades e Desenvolvimento Urbano;2
121948;Ciência, Tecnologia e Inovação;2
121948;Direito Penal e Processual Penal;2
121948;Direitos Humanos e Minorias;2
121948;Economia;2
121948;Educação;2
121948;Esporte e Lazer;2
121948;Indústria, Comércio e Serviços;2
121948;Trabalho e Emprego;2
121948;Comunicações;1
121948;Direito Civil e Processual Civil;1
121948;Direito Constitucional;1
121948;Direito e Defesa do Consumidor;1
121948;Estrutura Fundiária;1
121948;Previdência e Assistência Social;1
121948;Saúde;1
122158;Finanças Públicas e Orçamento;23
122158;Direitos Humanos e Minorias;12
122158;Administração Pública;10
122158;Direito Penal e Processual Penal;9
122158;Economia;8
122158;Defesa e Segurança;6
122158;Direito e Justiça;6
122158;Saúde;6
122158;Direito e Defesa do Consumidor;5
122158;Processo Legislativo e Atuação Parlamentar;5
122158;Direito Constitucional;4
122158;Meio Ambiente e Desenvolvimento Sustentável;4
122158;Trabalho e Emprego;4
122158;Comunicações;3
122158;Política, Partidos e Eleições;3
122158;Energia, Recursos Hídricos e Minerais;2
122158;Esporte e Lazer;2
122158;Indústria, Comércio e Serviços;2
122158;Previdência e Assistência Social;2
122158;Relações Internacionais e Comércio Exterior;2
122158;Agricultura, Pecuária, Pesca e Extrativismo;1
122158;Arte, Cultura e Religião;1
122158;Cidades e Desenvolvimento Urbano;1
122158;Educação;1
122158;Homenagens e Datas Comemorativas;1
122158;Viação, Transporte e Mobilidade;1
122195;Administração Pública;3
122195;Comunicações;3
122195;Meio Ambiente e Desenvolvimento Sustentável;3
122195;Viação, Transporte e Mobilidade;3
122195;Ciência, Tecnologia e Inovação;2
122195;Direito Civil e Processual Civil;2
122195;Economia;2
122195;Finanças Públicas e Orçamento;2
122195;Indústria, Comércio e Serviços;2
122195;Saúde;2
122195;Direito e Defesa do Consumidor;1
122195;Direitos Humanos e Minorias;1
122195;Esporte e Lazer;1
122195;Política, Partidos e Eleições;1
122195;Processo Legislativo e Atuação Parlamentar;1
122195;Turismo;1
122974;Defesa e Segurança;29
122974;Direitos Humanos e Minorias;28
122974;Finanças Públicas e Orçamento;16
122974;Administração Pública;13
122974;Viação, Transporte e Mobilidade;8
122974;Indústria, Comércio e Serviços;7
122974;Previdência e Assistência Social;6
122974;Saúde;6
122974;Direito e Justiça;5
122974;Direito Constitucional;4
122974;Economia;4
122974;Processo Legislativo e Atuação Parlamentar;4
122974;Trabalho e Emprego;4
122974;Arte, Cultura e Religião;2
122974;Cidades e Desenvolvimento Urbano;2
122974;Ciência, Tecnologia e Inovação;2
122974;Comunicações;2
122974;Educação;2
122974;Meio Ambiente e Desenvolvimento Sustentável;2
122974;Política, Partidos e Eleições;2
122974;Direito e Defesa do Consumidor;1
122974;Esporte e Lazer;1
122974;Homenagens e Datas Comemorativas;1
122974;Turismo;1
