idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2162116-161;220529;Não;Gilson Daniel;PODE;ES
2162116-161;204365;Sim;Gilson Marques;NOVO;SC
2162116-161;160673;Não;Giovani Cherini;PL;RS
2162116-161;107283;Não;Gleisi Hoffmann;PT;PR
2162116-161;220664;Não;Guilherme Uchoa;PSD;PE
2162116-161;220568;Sim;Gustavo Gayer;PL;GO
2162116-161;204408;Não;Gustinho Ribeiro;REPUBLICANOS;SE
2162116-161;204456;Não;Gutemberg Reis;MDB;RJ
2162116-161;178964;Não;Heitor Schuch;PSD;RS
2162116-161;178873;Não;Helder Salomão;PT;ES
2162116-161;220537;Não;Helena Lima;PSD;RR
2162116-161;234788;Não;Heloísa Helena;REDE;RJ
2162116-161;220672;Não;Henderson Pinto;MDB;PA
2162116-161;204539;Não;Hercílio Coelho Diniz;MDB;MG
2162116-161;178884;Não;Hildo Rocha;MDB;MA
2162116-161;141450;Não;Hugo Leal;PSD;RJ
2162116-161;160674;Artigo 17;Hugo Motta;REPUBLICANOS;PB
2162116-161;220563;Não;Icaro de Valmir;REPUBLICANOS;SE
2162116-161;204533;Não;Idilvan Alencar;PDT;CE
2162116-161;204508;Não;Igor Timo;PSD;MG
2162116-161;235620;Não;Ilacir Bicalho;REPUBLICANOS;MG
2162116-161;98615;Não;Ismael;PL;SC
2162116-161;220696;Não;Ivoneide Caetano;PT;BA
2162116-161;220527;Não;Jack Rocha;PT;ES
2162116-161;220697;Não;Jadyel Alencar;REPUBLICANOS;PI
2162116-161;74848;Não;Jandira Feghali;PCDOB;RJ
2162116-161;74273;Não;Jefferson Campos;PL;SP
2162116-161;141456;Não;Jilmar Tatto;PT;SP
2162116-161;230957;Não;João Cury;MDB;SP
2162116-161;178970;Não;João Daniel;PT;SE
2162116-161;141459;Não;João Maia;PP;RN
2162116-161;178910;Não;Joaquim Passarinho;PL;PA
2162116-161;160548;Não;Jonas Donizette;PSB;SP
2162116-161;235800;Não;Jorge Araújo;PP;BA
2162116-161;205550;Não;Jorge Braz;REPUBLICANOS;RJ
2162116-161;214694;Não;Jorge Goetten;REPUBLICANOS;SC
2162116-161;178857;Não;Jorge Solla;PT;BA
2162116-161;141464;Não;José Airton Félix Cirilo;PT;CE
2162116-161;141470;Não;José Guimarães;PT;CE
2162116-161;204472;Não;José Medeiros;PL;MT
2162116-161;74079;Não;José Priante;MDB;PA
2162116-161;74554;Não;José Rocha;UNIÃO;BA
2162116-161;220578;Não;Josenildo;PDT;AP
2162116-161;215043;Não;Josivaldo JP;PSD;MA
2162116-161;204474;Não;Juarez Costa;REPUBLICANOS;MT
2162116-161;220559;Sim;Julia Zanatta;PL;SC
2162116-161;220640;Não;Juliana Cardoso;PT;SP
2162116-161;66385;Não;Julio Arcoverde;PP;PI
2162116-161;74317;Não;Júlio Cesar;PSD;PI
2162116-161;204372;Não;Julio Cesar Ribeiro;REPUBLICANOS;DF
2162116-161;74253;Não;Julio Lopes;PP;RJ
2162116-161;204457;Não;Juninho do Pneu;PSDB;RJ
2162116-161;204520;Sim;Junio Amaral;PL;MG
2162116-161;204497;Não;Júnior Ferrari;PSD;PA
2162116-161;204550;Não;Júnior Mano;PSB;CE
2162116-161;178886;Não;Juscelino Filho;PSDB;MA
2162116-161;220677;Não;Keniston Braga;MDB;PA
2162116-161;162067;Não;Kiko Celeguim;PT;SP
2162116-161;204536;Sim;Kim Kataguiri;MISSÃO;SP
2162116-161;98057;Não;Lafayette de Andrada;PL;MG
2162116-161;74856;Não;Laura Carneiro;PSD;RJ
2162116-161;178832;Não;Leandre;PSD;PR
2162116-161;220566;Não;Lêda Borges;REPUBLICANOS;GO
2162116-161;80815;Não;Leo Prates;PDT;BA
2162116-161;74156;Não;Leonardo Monteiro;PT;MG
2162116-161;92102;Não;Leur Lomanto Júnior;UNIÃO;BA
2162116-161;139285;Não;Lídice da Mata;PSB;BA
2162116-161;74585;Não;Lincoln Portela;PL;MG
2162116-161;74858;Não;Lindbergh Farias;PT;RJ
2162116-161;220662;Não;Lucas Ramos;PSB;PE
2162116-161;204404;Não;Lucas Redecker;PSD;RS
2162116-161;220581;Não;Luciano Amaral;PSD;AL
2162116-161;74478;Não;Luciano Bivar;MDB;PE
2162116-161;178931;Não;Luciano Ducci;PSB;PR
2162116-161;220616;Não;Luciano Vieira;PSDB;RJ
2162116-161;204410;Não;Luisa Canziani;PSD;PR
2162116-161;141485;Não;Luiz Carlos Busato;UNIÃO;RS
2162116-161;73778;Não;Luiz Carlos Hauly;PODE;PR
2162116-161;204485;Não;Luiz Carlos Motta;PL;SP
2162116-161;74041;Não;Luiz Couto;PT;PB
2162116-161;141487;Não;Luiz Fernando Faria;UNIÃO;MG
2162116-161;220658;Não;Luiz Gastão;PSD;CE
2162116-161;204455;Sim;Luiz Lima;NOVO;RJ
2162116-161;162332;Não;Luiz Nishimori;PSD;PR
2162116-161;204526;Sim;Luiz Philippe de Orleans e Bragança;PL;SP
2162116-161;74784;Não;Luiza Erundina;PSOL;SP
2162116-161;178866;Não;Luizianne Lins;REDE;CE
2162116-161;166402;Não;Magda Mofatto;PL;GO
2162116-161;220648;Não;Marangoni;UNIÃO;SP
2162116-161;156190;Sim;Marcel van Hattem;NOVO;RS
2162116-161;179000;Não;Marcelo Álvaro Antônio;PL;MG
2162116-161;220599;Não;Marcelo Crivella;REPUBLICANOS;RJ
2162116-161;133810;Não;Marcelo Moraes;PL;RS
2162116-161;204558;Não;Marcelo Nilo;REPUBLICANOS;BA
2162116-161;160161;Não;Marcelo Queiroz;PSDB;RJ
2162116-161;178983;Sim;Marcio Alvino;PL;SP
2162116-161;179001;Não;Márcio Biolchi;MDB;RS
2162116-161;220687;Não;Márcio Honaiser;PDT;MA
2162116-161;81055;Não;Márcio Jerry;PCDOB;MA
2162116-161;150418;Não;Márcio Marinho;REPUBLICANOS;BA
2162116-161;160535;Não;Marcon;PT;RS
2162116-161;204506;Não;Marcos Pereira;REPUBLICANOS;SP
2162116-161;220547;Sim;Marcos Pollon;PL;MS
2162116-161;220604;Não;Marcos Tavares;PDT;RJ
