idproposicao;uriproposicao;idautor;nomeautor;tipoautor;ordemassinatura;pesoautoria
2606455;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606455;139285;Lídice da Mata;Deputado(a);1;1
2606454;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606454;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606453;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606453;74856;Laura Carneiro;Deputado(a);1;1
2606452;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606452;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606451;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606451;220626;Rafael Simoes;Deputado(a);1;1
2606450;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606450;204511;David Soares;Deputado(a);1;1
2606449;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606449;178887;Rubens Pereira Júnior;Deputado(a);1;1
2606448;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606448;220558;Zé Trovão;Deputado(a);1;1
2606447;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606447;220543;Ricardo Ayres;Deputado(a);1;1
2606446;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606446;220558;Zé Trovão;Deputado(a);1;1
2606445;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606445;226179;Gisela Simona;Deputado(a);1;1
2606444;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606444;220558;Zé Trovão;Deputado(a);1;1
2606443;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606443;74160;Patrus Ananias;Deputado(a);1;1
2606442;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606442;220558;Zé Trovão;Deputado(a);1;1
2606441;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606441;204462;Chris Tonietto;Deputado(a);1;1
2606440;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606440;204462;Chris Tonietto;Deputado(a);1;1
2606439;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606439;220649;Delegado da Cunha;Deputado(a);1;1
2606438;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606438;220641;Rodrigo Gambale;Deputado(a);1;1
2606437;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606437;220559;Julia Zanatta;Deputado(a);1;1
2606436;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606436;220559;Julia Zanatta;Deputado(a);1;1
2606435;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606435;74060;Daniel Almeida;Deputado(a);1;1
2606434;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606434;220559;Julia Zanatta;Deputado(a);1;1
2606433;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606433;74856;Laura Carneiro;Deputado(a);1;1
2606432;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606432;220559;Julia Zanatta;Deputado(a);1;1
2606431;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606431;160512;Aureo Ribeiro;Deputado(a);1;1
2606430;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606430;204494;Fred Costa;Deputado(a);1;1
2606429;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606429;160512;Aureo Ribeiro;Deputado(a);1;1
2606428;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606428;204450;Doutor Luizinho;Deputado(a);1;1
2606427;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606427;220658;Luiz Gastão;Deputado(a);1;1
2606426;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606426;230767;Rodrigo da Zaeli;Deputado(a);1;1
2606425;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606425;220690;Capitão Alden;Deputado(a);1;1
2606424;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606424;204360;Silvia Cristina;Deputado(a);1;1
2606423;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606423;74848;Jandira Feghali;Deputado(a);1;1
2606422;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606422;160629;Romero Rodrigues;Deputado(a);1;1
2606421;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606421;220644;Rosangela Moro;Deputado(a);1;1
2606420;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606420;160629;Romero Rodrigues;Deputado(a);1;1
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;74856;Laura Carneiro;Deputado(a);11;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;220598;Tarcísio Motta;Deputado(a);5;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;220555;Daiana Santos;Deputado(a);8;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;74084;Raimundo Santos;Deputado(a);6;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;74848;Jandira Feghali;Deputado(a);1;1
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;139285;Lídice da Mata;Deputado(a);10;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;74057;Alice Portugal;Deputado(a);2;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;74060;Daniel Almeida;Deputado(a);4;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;160604;Pedro Uczai;Deputado(a);7;1
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;160548;Jonas Donizette;Deputado(a);9;0
2606419;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606419;160641;Professora Marcivania;Deputado(a);3;0
2606418;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606418;178871;Evair Vieira de Melo;Deputado(a);1;1
2606417;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606417;122974;Pedro Lucas Fernandes;Deputado(a);1;1
2606416;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606416;220690;Capitão Alden;Deputado(a);1;1
2606415;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606415;220690;Capitão Alden;Deputado(a);1;1
2606414;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606414;230767;Rodrigo da Zaeli;Deputado(a);1;1
2606413;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606413;204450;Doutor Luizinho;Deputado(a);1;1
2606412;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606412;220666;Coronel Meira;Deputado(a);1;1
