id_evento;id_deputado;nome_deputado;sigla_partido;sigla_uf
80928;204491;;;
80928;204492;;;
80928;204494;;;
80928;204495;;;
80928;204496;;;
80928;204497;;;
80928;204498;;;
80928;204501;;;
80928;204504;;;
80928;204506;;;
80928;204508;;;
80928;204511;;;
80928;204512;;;
80928;204515;;;
80928;204517;;;
80928;204518;;;
80928;204520;;;
80928;204524;;;
80928;204525;;;
80928;204526;;;
80928;204528;;;
80928;204531;;;
80928;204534;;;
80928;204535;;;
80928;204536;;;
80928;204539;;;
80928;204540;;;
80928;204549;;;
80928;204550;;;
80928;204553;;;
80928;204557;;;
80928;204559;;;
80928;204560;;;
80928;204563;;;
80928;204566;;;
80928;204567;;;
80928;204570;;;
80928;204571;;;
80928;204572;;;
80928;204574;;;
80928;205476;;;
80928;205865;;;
80928;209189;;;
80928;209787;;;
80928;210989;;;
80928;213762;;;
80928;214694;;;
80928;215043;;;
80928;218086;;;
80928;220526;;;
80928;220527;;;
80928;220529;;;
80928;220530;;;
80928;220532;;;
80928;220533;;;
80928;220534;;;
80928;220536;;;
80928;220537;;;
80928;220538;;;
80928;220539;;;
80928;220540;;;
80928;220542;;;
80928;220543;;;
80928;220544;;;
80928;220545;;;
80928;220546;;;
80928;220547;;;
80928;220548;;;
80928;220549;;;
80928;220550;;;
80928;220551;;;
80928;220552;;;
80928;220553;;;
80928;220554;;;
80928;220555;;;
80928;220556;;;
80928;220557;;;
80928;220558;;;
80928;220559;;;
80928;220560;;;
80928;220561;;;
80928;220563;;;
80928;220565;;;
80928;220566;;;
80928;220567;;;
80928;220568;;;
80928;220569;;;
80928;220570;;;
80928;220571;;;
80928;220572;;;
80928;220573;;;
80928;220574;;;
80928;220576;;;
80928;220578;;;
80928;220581;;;
80928;220582;;;
80928;220583;;;
80928;220584;;;
80928;220585;;;
80928;220586;;;
80928;220588;;;
80928;220590;;;
80928;220591;;;
80928;220592;;;
80928;220594;;;
80928;220595;;;
80928;220597;;;
80928;220598;;;
80928;220599;;;
80928;220602;;;
80928;220603;;;
80928;220604;;;
80928;220605;;;
80928;220606;;;
80928;220607;;;
80928;220608;;;
80928;220609;;;
80928;220610;;;
80928;220611;;;
80928;220612;;;
80928;220613;;;
80928;220615;;;
80928;220616;;;
80928;220617;;;
80928;220618;;;
80928;220620;;;
80928;220621;;;
80928;220623;;;
80928;220624;;;
80928;220625;;;
80928;220626;;;
80928;220628;;;
80928;220629;;;
80928;220631;;;
80928;220632;;;
80928;220633;;;
80928;220635;;;
80928;220638;;;
80928;220640;;;
80928;220641;;;
80928;220642;;;
80928;220644;;;
80928;220645;;;
80928;220646;;;
80928;220647;;;
80928;220648;;;
80928;220649;;;
80928;220650;;;
80928;220651;;;
80928;220652;;;
80928;220653;;;
80928;220654;;;
80928;220655;;;
80928;220657;;;
80928;220658;;;
80928;220659;;;
80928;220661;;;
80928;220662;;;
80928;220663;;;
80928;220664;;;
80928;220665;;;
80928;220666;;;
80928;220667;;;
80928;220668;;;
80928;220669;;;
80928;220670;;;
80928;220671;;;
80928;220672;;;
80928;220673;;;
80928;220674;;;
80928;220675;;;
80928;220676;;;
80928;220677;;;
80928;220681;;;
80928;220682;;;
80928;220683;;;
80928;220684;;;
80928;220685;;;
80928;220686;;;
80928;220687;;;
80928;220688;;;
80928;220689;;;
80928;220690;;;
80928;220691;;;
80928;220692;;;
80928;220693;;;
80928;220694;;;
80928;220696;;;
80928;220697;;;
80928;220699;;;
80928;220700;;;
80928;220702;;;
80928;220703;;;
80928;220704;;;
80928;220706;;;
80928;220707;;;
80928;220708;;;
80928;220712;;;
80928;220714;;;
80928;220715;;;
80928;221148;;;
80928;221328;;;
80928;221329;;;
80928;221338;;;
80928;222429;;;
80928;223128;;;
80928;224117;;;
80928;224333;;;
80928;225730;;;
80928;226179;;;
80928;226708;;;
80928;226837;;;
80928;227433;;;
80928;227991;;;
80928;229585;;;
80928;230765;;;
80928;230767;;;
80928;230768;;;
80928;230957;;;
80928;231911;;;
80928;233594;;;
80928;234310;;;
80928;234388;;;
80928;234406;;;
80928;234673;;;
80928;234788;;;
80928;234840;;;
80929;73701;;;
80929;74060;;;
80929;74374;;;
80929;178992;;;
80929;204365;;;
80929;204462;;;
80929;220565;;;
80929;220632;;;
80933;73604;;;
80933;73788;;;
80933;74084;;;
80933;74095;;;
80933;74273;;;
80933;74848;;;
80933;123086;;;
80933;133439;;;
80933;141391;;;
80933;141533;;;
80933;160604;;;
80933;178992;;;
80933;204356;;;
80933;204367;;;
80933;204372;;;
80933;204396;;;
80933;204410;;;
80933;204412;;;
80933;204450;;;
80933;204457;;;
80933;204511;;;
80933;220555;;;
80933;220606;;;
80933;220612;;;
80933;220662;;;
80933;220684;;;
80933;221329;;;
80933;221338;;;
80933;226837;;;
80933;234310;;;
80934;74398;;;
80934;204407;;;
80934;220553;;;
80934;220555;;;
80936;73701;;;
80936;204462;;;
80936;220595;;;
80936;220632;;;
80937;73701;;;
80937;74060;;;
80937;204367;;;
80937;204462;;;
80937;220571;;;
80937;220595;;;
80937;220632;;;
80938;73701;;;
80938;204462;;;
80938;220595;;;
80938;220632;;;
80940;73701;;;
80940;74374;;;
80940;178992;;;
