Q11 complemento - nuvem de palavras completa por partido
 ano_dados | sigla_partido |                      token                       | frequencia 
      2023 | AVANTE        | regimes                                          |          6
      2023 | AVANTE        | virtual                                          |          6
      2023 | AVANTE        | regras                                           |          6
      2023 | AVANTE        | zero                                             |          6
      2023 | AVANTE        | agosto                                           |          6
      2023 | AVANTE        | logística                                        |          6
      2023 | AVANTE        | limitação                                        |          6
      2023 | AVANTE        | ligação                                          |          6
      2023 | AVANTE        | alíneas                                          |          6
      2023 | AVANTE        | legais                                           |          6
      2023 | AVANTE        | juventude                                        |          6
      2023 | AVANTE        | representante                                    |          6
      2023 | AVANTE        | capítulo                                         |          6
      2023 | AVANTE        | amazonas                                         |          6
      2023 | AVANTE        | previdenciária                                   |          6
      2023 | AVANTE        | respeito                                         |          6
      2023 | AVANTE        | popular                                          |          6
      2023 | AVANTE        | sanções                                          |          6
      2023 | AVANTE        | insere                                           |          6
      2023 | AVANTE        | 113402006                                        |          6
      2023 | AVANTE        | portos                                           |          6
      2023 | AVANTE        | povos                                            |          6
      2023 | AVANTE        | incluir                                          |          6
      2023 | AVANTE        | segura                                           |          6
      2023 | AVANTE        | piso                                             |          6
      2023 | AVANTE        | contas                                           |          6
      2023 | AVANTE        | idade                                            |          6
      2023 | AVANTE        | senhor                                           |          6
      2023 | AVANTE        | guardas                                          |          6
      2023 | AVANTE        | 150                                              |          6
      2023 | AVANTE        | aprendiz                                         |          6
      2023 | AVANTE        | 1997                                             |          6
      2023 | AVANTE        | seus                                             |          6
      2023 | AVANTE        | pesquisa                                         |          6
      2023 | AVANTE        | arrecadação                                      |          6
      2023 | AVANTE        | sexualização                                     |          6
      2023 | AVANTE        | fpn                                              |          6
      2023 | AVANTE        | ascendente                                       |          6
      2023 | AVANTE        | assembleia                                       |          6
      2023 | AVANTE        | 1940                                             |          6
      2023 | AVANTE        | final                                            |          6
      2023 | AVANTE        | fevereiro                                        |          6
      2023 | AVANTE        | federado                                         |          6
      2023 | AVANTE        | auditoria                                        |          6
      2023 | AVANTE        | 17º                                              |          6
      2023 | AVANTE        | subcomissão                                      |          6
      2023 | AVANTE        | supremo                                          |          6
      2023 | AVANTE        | precoce                                          |          6
      2023 | AVANTE        | avante                                           |          6
      2023 | AVANTE        | espaço                                           |          6
      2023 | AVANTE        | escolas                                          |          6
      2023 | AVANTE        | escola                                           |          6
      2023 | AVANTE        | programas                                        |          6
      2023 | AVANTE        | tributar                                         |          6
      2023 | AVANTE        | ente                                             |          6
      2023 | AVANTE        | ciência                                          |          6
      2023 | AVANTE        | cooperativas                                     |          6
      2023 | AVANTE        | empreendedora                                    |          6
      2023 | AVANTE        | ementa                                           |          6
      2023 | AVANTE        | emancipação                                      |          6
      2023 | AVANTE        | tratam                                           |          6
      2023 | AVANTE        | bloco                                            |          6
      2023 | AVANTE        | trata                                            |          6
      2023 | AVANTE        | doação                                           |          6
      2023 | AVANTE        | divulgação                                       |          6
      2023 | AVANTE        | disposições                                      |          6
      2023 | AVANTE        | brasileiros                                      |          6
      2023 | AVANTE        | direito                                          |          6
      2023 | AVANTE        | produção                                         |          6
