Q5 complemento - ranking completo de fornecedores
 ano_dados |                                                                   fornecedor                                                                   | qtd_lancamentos | total_pago  
      2023 | BLITZ PRODUÇOES DE EVENTOS LTDA                                                                                                                |              11 |   146000.00
      2023 | DCASTRO COMUNICAÇÃO E MARKETING LTDA                                                                                                           |               9 |   145982.00
      2023 | PRESTAÇÃO DE SERVIÇOS DE DESIGN SGA LTDA                                                                                                       |              17 |   145900.00
      2023 | NOVOGRAF                                                                                                                                       |               4 |   145600.00
      2023 | PERFECT ASSESSORIA EM LICITACAO LTDA                                                                                                           |              73 |   145220.00
      2023 | ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMÁTICA LTDA-EPP                                                                                |              28 |   145080.00
      2023 | ALICE MARKETING E COMUNICACAO EIRELI                                                                                                           |               7 |   145000.00
      2023 | GUARIDA SERVIÇOS                                                                                                                               |              46 |   144750.10
      2023 | Strike Media                                                                                                                                   |              10 |   144000.00
      2023 | FLAVIA SOUZA DE MELO & CIA LTDA                                                                                                                |              24 |   144000.00
      2023 | FULL FLY - COMUNICACAO E MARKETING LTDA                                                                                                        |              12 |   144000.00
      2023 | IGUANAMBI PRODUÇÕES LTDA ME                                                                                                                    |              13 |   143175.00
      2023 | INFORMATICA EMPREENDIMENTOS IMOBILIARIOS LTDA                                                                                                  |              51 |   142880.51
      2023 | cavis- propaganda e publicidade eireli                                                                                                         |              11 |   142500.00
      2023 | MBI Baiocchi Imoveis Condominios                                                                                                               |               7 |   141937.70
      2023 | Atos 360 LTDA                                                                                                                                  |              10 |   141500.00
      2023 | Iza Carla Silva Santa Brigida - ME                                                                                                             |              33 |   140939.00
      2023 | S M SBARDELOTTO                                                                                                                                |              29 |   140700.00
      2023 | AUTO POSTO 305 SUL LTDA                                                                                                                        |             203 |   140641.38
      2023 | TÁXI LEGAL                                                                                                                                     |            2698 |   140339.75
      2023 | CMBC PUBLICIDADE E COMUNICAÇÃO LTDA                                                                                                            |               9 |   140290.00
      2023 | M.M Calafiori Resende Produções ME                                                                                                             |               9 |   140000.00
      2023 | STV COMUNICACAO LTDA                                                                                                                           |              13 |   139380.00
      2023 | ENTRE LNHAS CONSULTORIA EM GESTÃO EMPRESARIAL ltda                                                                                             |               8 |   139300.00
      2023 | SERVFAZ SERVIÇOS DE SEGURANÇA LTDA                                                                                                             |              16 |   139200.00
      2023 | RADIOLA COMUNICAÇÃO E ASSESSORIA                                                                                                               |              12 |   139000.00
      2023 | AGUAS CLARAS MIDIA COMUNICACAO E EVENTOS LTDA - ME                                                                                             |               7 |   138800.00
      2023 | LINO ITO BOCCHINI                                                                                                                              |              10 |   138679.48
      2023 | VALOR LOCAÇÕES EIRELI - ME                                                                                                                     |              34 |   138370.16
      2023 | INFORGRAF EIRELI                                                                                                                               |               4 |   137940.00
      2023 | GOOGLE BRASIL INTERNET LTDA                                                                                                                    |              70 |   137830.98
      2023 | ADRIAN KAROLINE PEREIRA GASPAR                                                                                                                 |              11 |   137500.00
      2023 | AGENDA EM FOCO                                                                                                                                 |               8 |   137000.00
