Ranking global - todos os anos
 id_deputado |                nome                 | sigla_uf | sigla_partido | gasto_total 
      204494 | Fred Costa                          | MG       | PRD           |  1385547.36
       74848 | Jandira Feghali                     | RJ       | PCDOB         |  1385360.81
       73604 | Rui Falcão                          | SP       | PT            |  1385044.02
      220565 | Delegada Adriana Accorsi            | GO       | PT            |  1380520.15
       73801 | Renildo Calheiros                   | PE       | PCDOB         |  1376153.20
       73531 | Ivan Valente                        | SP       | PSOL          |  1369659.12
      141480 | Lázaro Botelho                      | TO       | PP            |  1369042.18
      220681 | Fábio Macedo                        | MA       | PODE          |  1364053.73
      220534 | Fred Linhares                       | DF       | REPUBLICANOS  |  1360905.37
      220604 | Marcos Tavares                      | RJ       | PDT           |  1358060.86
      160976 | Tiririca                            | SP       | PSD           |  1357951.69
      218086 | Ely Santos                          | SP       | REPUBLICANOS  |  1357640.81
      204571 | Alex Santana                        | BA       | REPUBLICANOS  |  1353670.21
      178966 | Geovania de Sá                      | SC       | REPUBLICANOS  |  1353266.98
      220532 | Rafael Prudente                     | DF       | MDB           |  1352339.59
      160161 | Marcelo Queiroz                     | RJ       | PSDB          |  1351962.16
      220616 | Luciano Vieira                      | RJ       | PSDB          |  1349393.14
      220630 | Pedro Aihara                        | MG       | PP            |  1347926.90
      178896 | Newton Cardoso Jr                   | MG       | MDB           |  1345245.68
      204374 | Bia Kicis                           | DF       | PL            |  1338789.67
      220660 | Yury do Paredão                     | CE       | MDB           |  1327954.02
      220665 | Clarissa Tércio                     | PE       | PP            |  1325091.58
      220686 | Duarte Jr.                          | MA       | AVANTE        |  1324370.05
      198197 | Greyce Elias                        | MG       | PL            |  1321050.84
      220645 | Erika Hilton                        | SP       | PSOL          |  1317969.42
