deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
204410;Luisa Canziani;PSD;566;0;True;
204411;Filipe Barros;PL;567;39;True;
204412;Dr. Zacharias Calil;UNIAO;863;2;True;
204416;Sanderson;PL;852;64;True;
204419;Glaustin da Fokus;PODE;575;8;True;
204422;Ossesio Silva;REPUBLICANOS;754;0;True;
204423;André Ferreira;PL;588;17;True;
204425;Silvio Costa Filho;REPUBLICANOS;121;0;True;
204426;Carlos Veras;PT;957;45;True;
204427;Fernando Rodolfo;PRD;719;58;True;
204431;Marcos Aurélio Sampaio;PSD;809;0;True;
204433;Marcelo Calero;PSD;17;0;False;too_few_valid_votes (<20 over retained roll calls)
204436;Isnaldo Bulhões Jr.;MDB;300;1;True;
204441;Otoni de Paula;PSD;631;6;True;
204444;Helio Lopes;PL;690;46;True;
204445;Fernando Mineiro;PT;835;4;True;
204448;Luiz Antônio Corrêa;PP;268;0;True;
204449;Nelson Barbudo;PL;298;19;True;
204450;Doutor Luizinho;PP;257;1;True;
204453;Natália Bonavides;PT;801;4;True;
204455;Luiz Lima;NOVO;902;103;True;
204456;Gutemberg Reis;MDB;898;1;True;
204457;Juninho do Pneu;UNIAO;872;0;True;
204459;Daniela do Waguinho;REPUBLICANOS;752;0;True;
204460;Carlos Jordy;PL;900;50;True;
204462;Chris Tonietto;PL;905;52;True;
204464;Talíria Petrone;PSOL;650;4;True;
204472;José Medeiros;PL;816;49;True;
204473;General Girão;PL;823;71;True;
204474;Juarez Costa;REPUBLICANOS;722;0;True;
204476;Chiquinho Brazão;UNIAO;168;0;True;
204479;Nicoletti;PL;901;0;True;
204480;Rogério Correia;PT;882;2;True;
204481;Dr. Jaziel;PL;842;49;True;
204482;Euclydes Pettersen;REPUBLICANOS;450;0;True;
204485;Luiz Carlos Motta;PL;805;32;True;
204486;Mauro Benevides Filho;PDT;899;2;True;
204488;Célio Studart;PSD;632;0;True;
204489;Robério Monteiro;PDT;625;0;True;
204491;Gilberto Abramo;REPUBLICANOS;743;0;True;
204492;Paulo Guedes;PT;901;3;True;
204494;Fred Costa;PRD;378;2;True;
204495;Airton Faleiro;PT;842;3;True;
204496;Celso Sabino;PDT;144;0;True;
204497;Júnior Ferrari;PSD;824;6;True;
204498;Olival Marques;MDB;845;1;True;
204501;Alencar Santana;PT;1000;4;True;
204504;Cezinha de Madureira;PL;867;0;True;
204506;Marcos Pereira;REPUBLICANOS;564;47;True;
204507;Carla Zambelli;PL;453;60;True;
